id_Customer,Tipe_Customer,Region,Luas_Bangunan_m2,Jumlah_Penghuni,Biaya_Listrik
CUSTOMER_0001,residential,Northeast,24,2,64.51
CUSTOMER_0002,commercial,Midwest,24,1,55.26
CUSTOMER_0003,commercial,Southeast,24,1,74.54
CUSTOMER_0004,residential,Northeast,45,4,147.06
CUSTOMER_0005,residential,Southeast,45,4,143.06
CUSTOMER_0006,residential,North,52,2,96.7
CUSTOMER_0007,residential,Midwest,17,3,52.99
CUSTOMER_0008,commercial,Southeast,45,3,102.13
CUSTOMER_0009,residential,Northeast,45,2,70.03
CUSTOMER_0010,commercial,Midwest,45,4,158.14
CUSTOMER_0011,residential,Northeast,52,3,65.47
CUSTOMER_0012,commercial,Midwest,45,3,76.71
CUSTOMER_0013,commercial,Midwest,77,3,70.67
CUSTOMER_0014,residential,Midwest,24,2,70.77
CUSTOMER_0015,residential,Northeast,45,1,95.75
CUSTOMER_0016,residential,Northeast,17,1,90.83
CUSTOMER_0017,residential,North,17,1,103.45
CUSTOMER_0018,residential,Northeast,24,1,84.0
CUSTOMER_0019,residential,Midwest,17,1,76.29
CUSTOMER_0020,residential,Southeast,24,3,57.13
CUSTOMER_0021,residential,Midwest,24,3,103.67
CUSTOMER_0022,residential,Midwest,17,3,80.82
CUSTOMER_0023,residential,South,77,2,88.47
CUSTOMER_0024,residential,Midwest,17,3,73.39
CUSTOMER_0025,residential,South,45,4,133.88
CUSTOMER_0026,commercial,Midwest,24,1,100.9
CUSTOMER_0027,residential,Northeast,77,4,112.98
CUSTOMER_0028,residential,North,52,3,67.51
CUSTOMER_0029,residential,Midwest,45,1,60.31
CUSTOMER_0030,residential,North,45,3,93.18
CUSTOMER_0031,residential,Northeast,17,1,55.69
CUSTOMER_0032,residential,Midwest,77,3,56.69
CUSTOMER_0033,residential,Midwest,52,1,67.83
CUSTOMER_0034,commercial,Midwest,52,1,78.9
CUSTOMER_0035,commercial,Northeast,45,2,73.36
CUSTOMER_0036,commercial,Northeast,24,3,54.8
CUSTOMER_0037,residential,Midwest,52,4,156.34
CUSTOMER_0038,residential,South,24,1,101.43
CUSTOMER_0039,commercial,Midwest,45,3,66.84
CUSTOMER_0040,residential,South,17,1,90.06
CUSTOMER_0041,residential,Midwest,77,2,82.21
CUSTOMER_0042,residential,Midwest,17,2,64.69
CUSTOMER_0043,residential,Northeast,24,2,65.96
CUSTOMER_0044,commercial,Midwest,45,2,77.72
CUSTOMER_0045,residential,Midwest,45,4,126.84
CUSTOMER_0046,commercial,Midwest,45,4,119.82
CUSTOMER_0047,residential,Midwest,24,1,93.97
CUSTOMER_0048,residential,Midwest,17,3,77.22
CUSTOMER_0049,residential,Northeast,45,2,86.13
CUSTOMER_0050,residential,Midwest,77,2,62.22
CUSTOMER_0051,commercial,Northeast,52,4,133.1
CUSTOMER_0052,commercial,Southeast,45,4,121.29
CUSTOMER_0053,commercial,Northeast,77,2,79.53
CUSTOMER_0054,commercial,North,45,3,92.6
CUSTOMER_0055,residential,Midwest,45,1,91.98
CUSTOMER_0056,commercial,Midwest,45,1,70.69
CUSTOMER_0057,residential,Midwest,45,1,88.15
CUSTOMER_0058,residential,Northeast,45,1,100.84
CUSTOMER_0059,residential,Midwest,45,3,84.63
CUSTOMER_0060,residential,Northeast,24,3,60.12
CUSTOMER_0061,residential,South,24,3,87.4
CUSTOMER_0062,residential,South,17,2,57.89
